"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@BrandonJHavard Ssssssssick thumb",FALSE,209,"BrandonJHavard",2020-04-18 00:07:49,FALSE,"1251258114243993603","1251301369350426626","324745996","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MKBHD",4,FALSE,FALSE,NA,NA
"2","@joxenuk Still actively working on it haha",FALSE,33,"joxenuk",2020-04-17 19:57:45,FALSE,"1251225835564040194","1251238437887315972","1241097359611908096","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",0,FALSE,FALSE,NA,NA
"3","@Stefan_S_aus_H 399 times, hopefully lol",FALSE,101,"Stefan_S_aus_H",2020-04-17 18:50:51,FALSE,"1251220025853313025","1251221601842081803","45588952","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",2,FALSE,FALSE,NA,NA
"4","@mitansh18 That seems like an ideal candidate",FALSE,142,"mitansh18",2020-04-17 18:50:36,FALSE,"1251220092593078277","1251221539460198402","610872223","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",1,FALSE,FALSE,NA,NA
"5","@JeffHarris17 100%. And the AirPods train.",FALSE,170,"JeffHarris17",2020-04-17 18:38:45,FALSE,"1251218288396218368","1251218558706683905","70566378","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",2,FALSE,FALSE,NA,NA
"6","NEW VIDEO - iPhone SE (2020) Honest Thoughts... https://t.co/9jNm7OGEgA - RT! https://t.co/zMqJbryFP2",FALSE,6214,NA,2020-04-17 18:25:16,FALSE,NA,"1251215165732913155",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",495,FALSE,FALSE,NA,NA
"7","Highly requested upload incoming…",FALSE,11250,NA,2020-04-17 18:20:27,FALSE,NA,"1251213952589213708",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",203,FALSE,FALSE,NA,NA
"8","@mcxsabbb My name in between Jay-Z and Beyonce just looks hilarious lol",FALSE,12,"mcxsabbb",2020-04-17 18:11:09,FALSE,"1251210253787475969","1251211611882377217","1173490579176509442","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",0,FALSE,FALSE,NA,NA
"9","@TyFrench11 <U+0001F44F>",FALSE,10,"TyFrench11",2020-04-17 15:59:15,FALSE,"1251177517525995521","1251178417116102659","376029830","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",0,FALSE,FALSE,NA,NA
"10","""This thing collects more fingerprints than the CSI agent of the month"" <U+0001F605> https://t.co/6uP91ytclD",FALSE,19349,NA,2020-04-17 14:34:30,FALSE,NA,"1251157091005329410",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",899,FALSE,FALSE,NA,NA
